timestamp,temp_in,hum_in,temp_out,hum_out,open_close
1523102820,21.290001,43.205002,22.490000,32.799999,0
1523102880,21.290001,43.192501,22.450001,32.869999,0
1523102940,21.379999,43.315002,22.490000,32.959999,0
1523103000,21.400000,43.195000,22.510000,32.930000,0
1523103060,21.379999,43.297501,22.490000,32.990002,0
1523103120,21.420000,43.392502,22.490000,33.000000,0
1523103180,21.369999,43.362499,22.540001,33.060001,0
1523103240,21.344999,43.657501,22.540001,32.590000,0
1523103300,21.293333,43.520000,22.559999,32.619999,0
1523103360,21.275002,43.775002,22.580000,32.669998,0
1523103420,21.243334,43.614998,22.540001,32.730000,0
1523103480,21.190001,43.792500,22.620001,32.770000,0
1523103540,21.163334,43.947498,22.600000,32.770000,0
1523103600,21.170000,44.203335,22.600000,32.799999,0
1523103660,21.156666,43.837502,22.639999,32.830002,0
1523103720,21.080000,44.137501,22.639999,32.849998,0
1523103780,21.080000,44.555000,22.660000,32.910000,0
1523103840,21.046667,44.415001,22.660000,32.910000,0
1523103900,21.010000,44.057499,22.709999,32.910000,0
1523103960,20.985001,44.087502,22.690001,32.970001,0
1523104020,20.969999,44.237499,22.709999,32.990002,0
1523104080,21.040001,44.017502,22.730000,32.970001,0
1523104140,21.059999,44.107498,22.750000,32.990002,0
1523104200,21.059999,43.445000,22.750000,33.020000,0
1523104260,21.060001,42.445000,22.730000,32.990002,0
1523104320,21.020000,41.877499,22.750000,32.930000,1
1523104380,20.969999,42.262501,22.730000,32.830002,0
1523104440,21.000000,42.275002,22.750000,32.680000,0
1523104500,21.000000,42.012501,22.709999,32.639999,0
1523104560,21.040001,42.452499,22.639999,32.590000,0
1523104620,21.020000,42.562500,22.639999,32.619999,0
1523104680,21.100000,42.217499,22.620001,32.610001,0
1523104740,21.080000,41.000000,22.620001,33.060001,0
1523104800,21.100000,41.656670,22.600000,32.990002,0
